Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
22/09/2024,12:00,Daejeon Hana Citizen,Jeonbuk Motors,0,0
27/09/2024,12:30,Pohang Steelers,Incheon United,1,0
27/09/2024,12:30,Daejeon Hana Citizen,Ulsan,0,1
28/09/2024,09:30,Gangwon,Daegu,1,1
28/09/2024,12:00,Jeonbuk Motors,Jeju United,2,1
28/09/2024,12:00,Gimcheon Sangmu,Gwangju,2,0
29/09/2024,09:30,Seoul,Suwon,1,0
06/10/2024,08:00,Ulsan,Gimcheon Sangmu,2,1
06/10/2024,08:00,Gwangju,Seoul,3,1
06/10/2024,08:00,Daegu,Jeonbuk Motors,4,3
06/10/2024,08:00,Incheon United,Gangwon,1,3
06/10/2024,08:00,Jeju United,Daejeon Hana Citizen,2,1
06/10/2024,08:00,Pohang Steelers,Suwon,1,1
18/10/2024,12:30,Gwangju,Daegu,1,1
18/10/2024,12:30,Pohang Steelers,Suwon,1,1
19/10/2024,07:00,Jeonbuk Motors,Daejeon Hana Citizen,0,2
19/10/2024,09:30,Incheon United,Jeju United,1,2
19/10/2024,09:30,Gimcheon Sangmu,Ulsan,0,0
20/10/2024,08:00,Gangwon,Seoul,1,0
26/10/2024,07:00,Gangwon,Gimcheon Sangmu,1,0
26/10/2024,09:30,Suwon,Seoul,0,1
27/10/2024,06:00,Daejeon Hana Citizen,Daegu,1,0
27/10/2024,06:00,Pohang Steelers,Ulsan,0,2
27/10/2024,08:30,Incheon United,Gwangju,1,0
27/10/2024,08:30,Jeju United,Jeonbuk Motors,1,0
01/11/2024,11:30,Ulsan,Gangwon,2,1
02/11/2024,06:00,Jeonbuk Motors,Incheon United,0,0
02/11/2024,08:30,Gwangju,Daejeon Hana Citizen,0,0
02/11/2024,08:30,Seoul,Pohang Steelers,1,1
02/11/2024,08:30,Gimcheon Sangmu,Suwon,1,0
03/11/2024,06:00,Daegu,Jeju United,2,2
09/11/2024,08:30,Suwon,Gangwon,4,0
10/11/2024,06:00,Seoul,Ulsan,1,1
10/11/2024,06:00,Pohang Steelers,Gimcheon Sangmu,0,3
10/11/2024,08:30,Incheon United,Daejeon Hana Citizen,1,2
10/11/2024,08:30,Jeju United,Gwangju,0,0
10/11/2024,08:30,Jeonbuk Motors,Daegu,3,1
23/11/2024,06:00,Ulsan,Suwon,4,2
23/11/2024,06:00,Gimcheon Sangmu,Seoul,1,3
23/11/2024,06:00,Gangwon,Pohang Steelers,1,0
24/11/2024,06:00,Gwangju,Jeonbuk Motors,1,1
24/11/2024,06:00,Daegu,Incheon United,1,3
24/11/2024,06:00,Daejeon Hana Citizen,Jeju United,2,1
